# mean,stddev
3.791612982749938965e-01,1.142143160104751587e-01
2.199175953865051270e-01,2.483675628900527954e-02
1.576807349920272827e-01,1.817032508552074432e-02
1.210464835166931152e-01,1.511288061738014221e-02
9.831205010414123535e-02,1.329480484127998352e-02
8.308914303779602051e-02,1.201227679848670959e-02
7.182237505912780762e-02,1.086252741515636444e-02
6.435336172580718994e-02,1.034112460911273956e-02
5.841483920812606812e-02,9.571411646902561188e-03
5.426142737269401550e-02,9.396923705935478210e-03
