# mean,stddev
3.702901005744934082e-01,1.237210556864738464e-01
2.018449604511260986e-01,2.446509152650833130e-02
1.465215384960174561e-01,1.810263283550739288e-02
1.163621991872787476e-01,1.450293697416782379e-02
9.810473769903182983e-02,1.299624145030975342e-02
8.568432182073593140e-02,1.148785836994647980e-02
7.663993537425994873e-02,1.053404901176691055e-02
6.967249512672424316e-02,9.678674861788749695e-03
6.445946544408798218e-02,8.964288979768753052e-03
5.979675427079200745e-02,8.558337576687335968e-03
