# mean,stddev
4.409949481487274170e-01,1.020238101482391357e-01
2.759883403778076172e-01,3.137379139661788940e-02
1.947941780090332031e-01,2.065989747643470764e-02
1.458506286144256592e-01,1.626862026751041412e-02
1.147939637303352356e-01,1.409249193966388702e-02
9.368431568145751953e-02,1.223634276539087296e-02
7.852131128311157227e-02,1.074693817645311356e-02
6.736319512128829956e-02,9.992063045501708984e-03
5.896850675344467163e-02,9.166969917714595795e-03
5.256881564855575562e-02,8.648593910038471222e-03
