# mean,stddev
5.324086546897888184e-01,1.216881349682807922e-01
3.468028604984283447e-01,3.548852354288101196e-02
2.659821212291717529e-01,2.501379512250423431e-02
2.123642712831497192e-01,2.098301425576210022e-02
1.743194907903671265e-01,1.807316765189170837e-02
1.464307606220245361e-01,1.555470004677772522e-02
1.251420378684997559e-01,1.430625282227993011e-02
1.089251860976219177e-01,1.302403956651687622e-02
9.540100395679473877e-02,1.197758596390485764e-02
8.479920029640197754e-02,1.131751202046871185e-02
