# mean,stddev
4.892483651638031006e-01,1.612160801887512207e-01
2.607867419719696045e-01,3.226969018578529358e-02
1.853914260864257812e-01,2.121032215654850006e-02
1.415696889162063599e-01,1.719222962856292725e-02
1.132076159119606018e-01,1.445170491933822632e-02
9.377074986696243286e-02,1.230331975966691971e-02
8.004793524742126465e-02,1.103665865957736969e-02
6.966608017683029175e-02,9.759993292391300201e-03
6.206789612770080566e-02,8.803730830550193787e-03
5.637384206056594849e-02,8.131477050483226776e-03
