# mean,stddev
4.589699208736419678e-01,1.418531537055969238e-01
2.333379238843917847e-01,3.123868256807327271e-02
1.545783877372741699e-01,1.895512826740741730e-02
1.111027598381042480e-01,1.452481187880039215e-02
1.024058759212493896e-01,1.890423893928527832e-02
7.629700750112533569e-02,1.126185152679681778e-02
6.253176182508468628e-02,9.942297823727130890e-03
5.294192209839820862e-02,8.930058218538761139e-03
4.623940587043762207e-02,8.083749562501907349e-03
4.189996421337127686e-02,7.427689619362354279e-03
