# mean,stddev
3.762022256851196289e-01,1.444172412157058716e-01
2.020051777362823486e-01,2.432066015899181366e-02
1.471140086650848389e-01,1.741533540189266205e-02
1.150059103965759277e-01,1.447130925953388214e-02
9.522106498479843140e-02,1.288735121488571167e-02
8.187946677207946777e-02,1.110424567013978958e-02
7.230209559202194214e-02,1.004990190267562866e-02
6.541016697883605957e-02,9.378737770020961761e-03
6.050197407603263855e-02,8.799341507256031036e-03
5.601724982261657715e-02,8.582573384046554565e-03
