# mean,stddev
4.768829941749572754e-01,1.297361105680465698e-01
2.502149343490600586e-01,3.449330851435661316e-02
1.603125929832458496e-01,1.879438385367393494e-02
1.124299019575119019e-01,1.409687381237745285e-02
8.401638269424438477e-02,1.185984723269939423e-02
6.533259898424148560e-02,9.865711443126201630e-03
5.295777320861816406e-02,8.583451621234416962e-03
4.492967203259468079e-02,7.599452976137399673e-03
3.980750590562820435e-02,7.214105222374200821e-03
3.642260655760765076e-02,6.572370883077383041e-03
